curve,epsilon,snr_db,n,rate_bits
Gallager achievable (avg err),1e-06,-3,687,0.145614
Gallager achievable (avg err),1e-06,-3,769,0.152446
Gallager achievable (avg err),1e-06,-3,851,0.158367
Gallager achievable (avg err),1e-06,-3,933,0.16359
Gallager achievable (avg err),1e-06,-3,1015,0.168222
Gallager achievable (avg err),1e-06,-3,1097,0.17239
Gallager achievable (avg err),1e-06,-3,1179,0.176146
Gallager achievable (avg err),1e-06,-3,1261,0.179562
Gallager achievable (avg err),1e-06,-3,1343,0.182675
Gallager achievable (avg err),1e-06,-3,1425,0.185554
Gallager achievable (avg err),1e-06,-3,1508,0.188237
Gallager achievable (avg err),1e-06,-3,1590,0.190706
Gallager achievable (avg err),1e-06,-3,1672,0.192995
Gallager achievable (avg err),1e-06,-3,1754,0.195124
Gallager achievable (avg err),1e-06,-3,1836,0.197145
Gallager achievable (avg err),1e-06,-3,1918,0.199023
Gallager achievable (avg err),1e-06,-3,2000,0.200794
$\kappa\beta$ achievable v2 (max err),1e-06,-3,30,-0.660118
$\kappa\beta$ achievable v2 (max err),1e-06,-3,112,-0.11351
$\kappa\beta$ achievable v2 (max err),1e-06,-3,194,-0.00263731
$\kappa\beta$ achievable v2 (max err),1e-06,-3,276,0.0504695
$\kappa\beta$ achievable v2 (max err),1e-06,-3,358,0.0829194
$\kappa\beta$ achievable v2 (max err),1e-06,-3,440,0.105295
$\kappa\beta$ achievable v2 (max err),1e-06,-3,522,0.121893
$\kappa\beta$ achievable v2 (max err),1e-06,-3,605,0.134961
$\kappa\beta$ achievable v2 (max err),1e-06,-3,687,0.145364
$\kappa\beta$ achievable v2 (max err),1e-06,-3,769,0.153987
$\kappa\beta$ achievable v2 (max err),1e-06,-3,851,0.161279
$\kappa\beta$ achievable v2 (max err),1e-06,-3,933,0.167552
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1015,0.173018
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1097,0.17784
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1179,0.182132
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1261,0.185982
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1343,0.189465
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1425,0.192634
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1508,0.195565
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1590,0.198225
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1672,0.200683
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1754,0.202961
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1836,0.205081
$\kappa\beta$ achievable v2 (max err),1e-06,-3,1918,0.207059
$\kappa\beta$ achievable v2 (max err),1e-06,-3,2000,0.208911
Normal approximation,1e-06,-3,30,-0.28547
Normal approximation,1e-06,-3,112,-0.0182977
Normal approximation,1e-06,-3,194,0.0529803
Normal approximation,1e-06,-3,276,0.0900456
Normal approximation,1e-06,-3,358,0.113756
Normal approximation,1e-06,-3,440,0.130615
Normal approximation,1e-06,-3,522,0.143404
Normal approximation,1e-06,-3,605,0.153652
Normal approximation,1e-06,-3,687,0.161928
Normal approximation,1e-06,-3,769,0.168866
Normal approximation,1e-06,-3,851,0.174794
Normal approximation,1e-06,-3,933,0.179936
Normal approximation,1e-06,-3,1015,0.184452
Normal approximation,1e-06,-3,1097,0.188461
Normal approximation,1e-06,-3,1179,0.19205
Normal approximation,1e-06,-3,1261,0.195289
Normal approximation,1e-06,-3,1343,0.198232
Normal approximation,1e-06,-3,1425,0.200921
Normal approximation,1e-06,-3,1508,0.20342
Normal approximation,1e-06,-3,1590,0.205697
Normal approximation,1e-06,-3,1672,0.207806
Normal approximation,1e-06,-3,1754,0.209769
Normal approximation,1e-06,-3,1836,0.2116
Normal approximation,1e-06,-3,1918,0.213314
Normal approximation,1e-06,-3,2000,0.214923
