curve,epsilon,snr_db,n,rate_bits
$\kappa\beta$ achievable (PPV-faithful),0.01,3,769,0.705837
$\kappa\beta$ achievable (PPV-faithful),0.01,3,851,0.699008
$\kappa\beta$ achievable (PPV-faithful),0.01,3,933,0.703772
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1015,0.7079
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1097,0.711519
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1179,0.714724
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1261,0.717587
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1343,0.720164
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1425,0.7225
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1508,0.724653
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1590,0.726604
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1672,0.728403
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1754,0.730066
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1836,0.731608
$\kappa\beta$ achievable (PPV-faithful),0.01,3,1918,0.733044
$\kappa\beta$ achievable (PPV-faithful),0.01,3,2000,0.734385
Normal approximation,0.01,3,30,0.464699
Normal approximation,0.01,3,112,0.610352
Normal approximation,0.01,3,194,0.650319
Normal approximation,0.01,3,276,0.671377
Normal approximation,0.01,3,358,0.684959
Normal approximation,0.01,3,440,0.694674
Normal approximation,0.01,3,522,0.702076
Normal approximation,0.01,3,605,0.70803
Normal approximation,0.01,3,687,0.712852
Normal approximation,0.01,3,769,0.716905
Normal approximation,0.01,3,851,0.720375
Normal approximation,0.01,3,933,0.723391
Normal approximation,0.01,3,1015,0.726045
Normal approximation,0.01,3,1097,0.728403
Normal approximation,0.01,3,1179,0.730518
Normal approximation,0.01,3,1261,0.732429
Normal approximation,0.01,3,1343,0.734167
Normal approximation,0.01,3,1425,0.735757
Normal approximation,0.01,3,1508,0.737236
Normal approximation,0.01,3,1590,0.738584
Normal approximation,0.01,3,1672,0.739835
Normal approximation,0.01,3,1754,0.740999
Normal approximation,0.01,3,1836,0.742086
Normal approximation,0.01,3,1918,0.743104
Normal approximation,0.01,3,2000,0.744061
